title,text
aea.helpers.win32,"aea.helpers.win32. <a id=""aea.helpers.win32""></a> # aea.helpers.win32 Helpers for Windows. <a id=""aea.helpers.win32.enable_ctrl_c_support""></a> #### enablectrlcsupport Enable ctrl+c support for aea.cli command to be tested on windows platform."
aea.helpers.profiling,"aea.helpers.profiling. <a id=""aea.helpers.profiling""></a> # aea.helpers.profiling Implementation of background profiling daemon. <a id=""aea.helpers.profiling.Profiling""></a>"
aea.helpers.profiling,"Profiling Objects. Profiling service. <a id=""aea.helpers.profiling.Profiling.__init__""></a> #### init Init profiler. **Arguments**: - : delay between profiling output in seconds. - : object to count - : object created to count - : function to display output, one str argument. <a id=""aea.helpers.profiling.Profiling.set_counters""></a> #### setcounters Modify obj.__new__ to count objects created created. <a id=""aea.helpers.profiling.Profiling.run""></a> #### run Run profiling. <a id=""aea.helpers.profiling.Profiling.output_profile_data""></a> #### outputprofiledata Render profiling data and call output_function. <a id=""aea.helpers.profiling.Profiling.get_profile_data""></a> #### getprofiledata Get profiling data dict. <a id=""aea.helpers.profiling.Profiling.get_objects_instances""></a> #### getobjectsinstances Return dict with counted object instances present now. <a id=""aea.helpers.profiling.Profiling.get_objecst_created""></a> #### getobjecstcreated Return dict with counted object instances created."
aea.helpers.io,"aea.helpers.io. <a id=""aea.helpers.io""></a> # aea.helpers.io"
aea.helpers.search.generic,"aea.helpers.search.generic. <a id=""aea.helpers.search.generic""></a> # aea.helpers.search.generic This module contains a generic data model. <a id=""aea.helpers.search.generic.GenericDataModel""></a>"
aea.helpers.search.generic,"GenericDataModel Objects. Generic data model. <a id=""aea.helpers.search.generic.GenericDataModel.__init__""></a> #### init Initialise the dataModel."
models,models. 
aea.helpers.ipfs.base,"aea.helpers.ipfs.base. <a id=""aea.helpers.ipfs.base""></a> # aea.helpers.ipfs.base This module contains helper methods and classes for the 'aea' package. <a id=""aea.helpers.ipfs.base.chunks""></a> #### chunks Yield successivesize chunks from data. <a id=""aea.helpers.ipfs.base.IPFSHashOnly""></a>"
aea.helpers.ipfs.base,"IPFSHashOnly Objects. A helper class which allows construction of an IPFS hash without interacting with an IPFS daemon. <a id=""aea.helpers.ipfs.base.IPFSHashOnly.get""></a> #### get Get the IPFS hash for a single file. **Arguments**: - : the file path **Returns**: the ipfs hash"
aea.helpers.ipfs.utils,"aea.helpers.ipfs.utils. <a id=""aea.helpers.ipfs.utils""></a> # aea.helpers.ipfs.utils This module contains utility methods for ipfs helpers."
aea.helpers.multiaddr.base,"aea.helpers.multiaddr.base. <a id=""aea.helpers.multiaddr.base""></a> # aea.helpers.multiaddr.base This module contains multiaddress class. <a id=""aea.helpers.multiaddr.base.MultiAddr""></a>"
aea.helpers.multiaddr.base,"MultiAddr Objects. Protocol Labs' Multiaddress representation of a network address. <a id=""aea.helpers.multiaddr.base.MultiAddr.__init__""></a> #### init Initialize a multiaddress. **Arguments**: - : ip host of the address - : port number of the address - : hex encoded public key. Must conform to Bitcoin EC encoding standard for Secp256k1 - : a multihash of the public key <a id=""aea.helpers.multiaddr.base.MultiAddr.compute_peerid""></a> #### computepeerid Compute the peer id from a public key. In particular, compute the base58 representation of libp2p PeerID from Bitcoin EC encoded Secp256k1 public key. **Arguments**: - : the public key. **Returns**: the peer id. <a id=""aea.helpers.multiaddr.base.MultiAddr.from_string""></a> #### fromstring Construct a MultiAddr object from its string format **Arguments**: - : multiaddress string **Returns**: multiaddress object <a id=""aea.helpers.multiaddr.base.MultiAddr.public_key""></a> #### publickey Get the public key. <a id=""aea.helpers.multiaddr.base.MultiAddr.peer_id""></a> #### peerid Get the peer id. <a id=""aea.helpers.multiaddr.base.MultiAddr.host""></a> #### host Get the peer host. <a id=""aea.helpers.multiaddr.base.MultiAddr.port""></a> #### port Get the peer port. <a id=""aea.helpers.multiaddr.base.MultiAddr.format""></a> #### format Canonical representation of a multiaddress. <a id=""aea.helpers.multiaddr.base.MultiAddr.__str__""></a> #### str Default string representation of a multiaddress."
aea.helpers.transaction.base,"aea.helpers.transaction.base. <a id=""aea.helpers.transaction.base""></a> # aea.helpers.transaction.base This module contains terms related classes. <a id=""aea.helpers.transaction.base.RawTransaction""></a>"
