title,text
cosmpy.aerial.client.staking,"cosmpy.aerial.client.staking. <a id=""cosmpy.aerial.client.staking""></a> # cosmpy.aerial.client.staking Staking functionality. <a id=""cosmpy.aerial.client.staking.ValidatorStatus""></a>"
cosmpy.aerial.client.staking,"ValidatorStatus Objects. Validator status. <a id=""cosmpy.aerial.client.staking.ValidatorStatus.from_proto""></a> #### fromproto Get the validator status from proto. **Arguments**: - : value **Raises**: - : Unable to decode validator status **Returns**: Validator status <a id=""cosmpy.aerial.client.staking.create_delegate_msg""></a> #### createdelegatemsg Create delegate message. **Arguments**: - : delegator - : validator - : amount - : denom **Returns**: Delegate message <a id=""cosmpy.aerial.client.staking.create_redelegate_msg""></a> #### createredelegatemsg Create redelegate message. **Arguments**: - : delegator address - : source validation address - : destination validation address - : amount - : denom **Returns**: Redelegate message <a id=""cosmpy.aerial.client.staking.create_undelegate_msg""></a> #### createundelegatemsg Create undelegate message. **Arguments**: - : delegator address - : validator address - : amount - : denom **Returns**: Undelegate message"
cosmpy.aerial.client.bank,"cosmpy.aerial.client.bank. <a id=""cosmpy.aerial.client.bank""></a> # cosmpy.aerial.client.bank Bank send message. <a id=""cosmpy.aerial.client.bank.create_bank_send_msg""></a> #### createbanksendmsg Create bank send message. **Arguments**: - : from address - : to address - : amount - : denom **Returns**: bank send message"
cosmpy.aerial.client.init,"cosmpy.aerial.client.init. <a id=""cosmpy.aerial.client.__init__""></a> # cosmpy.aerial.client.init Client functionality. <a id=""cosmpy.aerial.client.__init__.Account""></a>"
cosmpy.aerial.client.init,"Account Objects. Account. <a id=""cosmpy.aerial.client.__init__.StakingPosition""></a>"
cosmpy.aerial.client.init,"StakingPosition Objects. Staking positions. <a id=""cosmpy.aerial.client.__init__.UnbondingPositions""></a>"
cosmpy.aerial.client.init,"UnbondingPositions Objects. Unbonding positions. <a id=""cosmpy.aerial.client.__init__.Validator""></a>"
cosmpy.aerial.client.init,"Validator Objects. Validator. <a id=""cosmpy.aerial.client.__init__.Coin""></a>"
cosmpy.aerial.client.init,"Coin Objects. Coins. <a id=""cosmpy.aerial.client.__init__.StakingSummary""></a>"
cosmpy.aerial.client.init,"StakingSummary Objects. Get the staking summary. <a id=""cosmpy.aerial.client.__init__.StakingSummary.total_staked""></a> #### totalstaked Get the total staked amount. <a id=""cosmpy.aerial.client.__init__.StakingSummary.total_rewards""></a> #### totalrewards Get the total rewards. <a id=""cosmpy.aerial.client.__init__.StakingSummary.total_unbonding""></a> #### totalunbonding total unbonding. <a id=""cosmpy.aerial.client.__init__.LedgerClient""></a>"
